symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
KMPUR,2022-04-28,2026-05-08,252,True,True,True
KNFRT,2021-01-06,2026-05-08,344,True,True,True
KOCMT,2024-05-17,2026-05-08,119,True,True,True
KONKA,2021-11-26,2026-05-08,270,True,True,True
KONTR,2021-01-06,2026-05-08,344,True,True,True
KONYA,2021-01-06,2026-05-08,344,True,True,True
KOPOL,2023-04-13,2026-05-08,408,True,True,True
KORDS,2021-01-06,2026-05-08,698,True,True,True
KOTON,2024-05-10,2026-05-08,263,True,True,True
KRDMA,2021-01-06,2026-05-08,698,True,True,True
KRDMB,2021-01-06,2026-05-08,698,True,True,True
KRDMD,2021-01-06,2026-05-08,698,True,True,True
KRGYO,2021-01-06,2026-05-08,698,True,True,True
KRONT,2021-01-06,2026-05-08,698,True,True,True
KRPLS,2022-07-28,2026-05-08,509,True,True,True
KRSTL,2021-01-06,2026-05-08,698,True,True,True
KRTEK,2021-01-06,2026-05-08,698,True,True,True
KRVGD,2021-01-06,2026-05-08,698,True,True,True
KTLEV,2023-06-12,2026-05-08,372,True,True,True
KTSKR,2021-07-08,2026-05-08,623,True,True,True
KUTPO,2021-01-06,2026-05-08,698,True,True,True
KUVVA,2021-01-06,2026-05-08,698,True,True,True
KUYAS,2021-01-06,2026-05-08,703,True,True,True
KZBGY,2021-08-12,2026-05-08,580,True,True,True
KZGYO,2023-08-29,2026-05-08,351,True,True,True
LIDER,2022-04-04,2026-05-08,543,True,True,True
LIDFA,2021-01-06,2026-05-08,698,True,True,True
LILAK,2024-05-09,2026-05-08,260,True,True,True
LINK,2021-01-06,2026-05-08,698,True,True,True
LKMNH,2021-01-06,2026-05-08,698,True,True,True
LMKDC,2024-02-22,2026-05-08,287,True,True,True
LOGO,2021-01-06,2026-05-08,698,True,True,True
LRSHO,2021-01-06,2026-05-08,698,True,True,True
LUKSK,2021-01-06,2026-05-08,698,True,True,True
LYDHO,2021-01-06,2026-05-08,698,True,True,True
LYDYE,2021-01-06,2026-05-08,698,True,True,True
MAALT,2021-01-06,2026-05-08,698,True,True,True
MACKO,2023-01-26,2026-05-08,435,True,True,True
MAGEN,2021-09-30,2026-05-08,578,True,True,True
MAKIM,2022-06-17,2026-05-08,492,True,True,True
MAKTK,2021-01-06,2026-05-08,698,True,True,True
MANAS,2021-07-27,2026-05-08,612,True,True,True
MARBL,2023-11-08,2026-05-08,308,True,True,True
MARKA,2021-01-06,2026-05-08,694,True,True,True
MARMR,2025-09-16,2026-05-08,80,False,True,True
MARTI,2021-01-06,2026-05-08,698,True,True,True
MAVI,2021-01-06,2026-05-08,698,True,True,True
MEDTR,2021-07-02,2026-05-08,611,True,True,True
MEGMT,2023-12-15,2026-05-08,285,True,True,True
MEKAG,2023-10-12,2026-05-08,336,True,True,True
MEPET,2021-01-06,2026-05-08,698,True,True,True
MERCN,2021-05-27,2026-05-08,603,True,True,True
MERIT,2021-01-06,2026-05-08,698,True,True,True
MERKO,2021-01-06,2026-05-08,698,True,True,True
METRO,2021-01-06,2026-05-08,698,True,True,True
MGROS,2021-01-06,2026-05-08,698,True,True,True
MHRGY,2023-10-18,2026-05-08,321,True,True,True
MIATK,2021-11-22,2026-05-08,562,True,True,True
MNDRS,2021-01-06,2026-05-08,698,True,True,True
MNDTR,2021-01-06,2026-05-08,698,True,True,True
MOBTL,2021-11-25,2026-05-08,567,True,True,True
MOGAN,2024-03-07,2026-05-08,282,True,True,True
MOPAS,2025-01-29,2026-05-08,156,False,True,True
MPARK,2021-01-06,2026-05-08,698,True,True,True
MRGYO,2021-01-06,2026-05-08,698,True,True,True
MRSHL,2021-01-06,2026-05-08,698,True,True,True
MSGYO,2021-01-06,2026-05-08,698,True,True,True
MTRKS,2021-04-06,2026-05-08,634,True,True,True
MZHLD,2021-01-06,2026-05-08,698,True,True,True
NATEN,2021-01-06,2026-05-08,698,True,True,True
NETAS,2021-01-06,2026-05-08,698,True,True,True
NIBAS,2021-01-06,2026-05-08,703,True,True,True
NTGAZ,2021-04-01,2026-05-08,663,True,True,True
NTHOL,2021-01-06,2026-05-08,698,True,True,True
NUGYO,2021-01-06,2026-05-08,698,True,True,True
NUHCM,2021-01-06,2026-05-08,698,True,True,True
OBAMS,2024-03-01,2026-05-08,292,True,True,True
OBASE,2022-08-03,2026-05-08,508,True,True,True
ODAS,2021-01-06,2026-05-08,1336,True,True,True
ODINE,2024-03-21,2026-05-08,532,True,True,True
OFSYM,2023-08-16,2026-05-08,686,True,True,True
ONCSM,2023-01-04,2026-05-08,835,True,True,True
ONRYT,2024-05-28,2026-05-08,489,True,True,True
ORCAY,2021-09-02,2026-05-08,1175,True,True,True
ORGE,2021-01-06,2026-05-08,1336,True,True,True
OSMEN,2021-01-06,2026-05-08,1336,True,True,True
OSTIM,2021-01-06,2026-05-08,1336,True,True,True
OTKAR,2021-01-06,2026-05-08,1336,True,True,True
OTTO,2021-01-06,2026-05-08,1336,True,True,True
OYAKC,2021-01-06,2026-05-08,1336,True,True,True
OYLUM,2021-01-06,2026-05-08,1336,True,True,True
OYYAT,2021-06-10,2026-05-08,1229,True,True,True
OZATD,2024-09-05,2026-05-08,422,True,True,True
OZGYO,2021-01-06,2026-05-08,1336,True,True,True
OZKGY,2021-01-06,2026-05-08,1336,True,True,True
OZRDN,2021-01-06,2026-05-08,1336,True,True,True
OZSUB,2022-11-29,2026-05-08,861,True,True,True
OZYSR,2024-05-29,2026-05-08,488,True,True,True
PAGYO,2021-01-06,2026-05-08,1336,True,True,True
PAHOL,2025-11-21,2026-05-08,117,False,True,True
